Time,temperature,wet,cloud,rain,wind
2017/1/1,19.2,80,72,0,34.2
2017/1/2,20.2,81,28,0,17.6
2017/1/3,20,83,56,0,26.1
2017/1/4,19.9,80,51,0,27.7
2017/1/5,21.1,80,61,0,14.3
2017/1/6,21.6,80,43,0,20
2017/1/7,21.1,79,68,0,20.8
2017/1/8,22.6,76,50,0,6.8
2017/1/9,20.6,78,66,0,23.3
2017/1/10,19.4,79,72,0,36.6
2017/1/11,19.1,80,86,0,37.8
2017/1/12,19,81,93,0,28
2017/1/13,15.9,84,88,0.5,22.9
2017/1/14,15.7,87,92,1,29.7
2017/1/15,15.5,85,100,1.5,29.3
2017/1/16,16.3,80,93,0.4,35.5
2017/1/17,18,76,88,0,37.3
2017/1/18,18.9,86,88,0,24.2
2017/1/19,20.4,85,76,0,12.8
2017/1/20,18.3,69,51,0,26.9
2017/1/21,16.7,67,35,0,20.1
2017/1/22,16.4,58,9,0,18.8
2017/1/23,16.8,71,61,0,33
2017/1/24,17,72,79,0,43
2017/1/25,17.5,76,42,0,30.7
2017/1/26,17.3,75,45,0,27.4
2017/1/27,17.5,69,13,0,18.8
2017/1/28,17.3,79,78,0.3,30.4
2017/1/29,19.1,88,88,2.4,28.2
2017/1/30,20.2,90,88,1.2,22.8
2017/1/31,16.7,87,88,0.5,34.3
2017/2/1,18.4,80,80,0,23.9
2017/2/2,16.8,83,86,0,43
2017/2/3,17.1,76,87,0,31.4
2017/2/4,18.2,79,72,1.6,22.2
2017/2/5,19,83,67,3.3,11
2017/2/6,18.1,80,80,0,38.5
2017/2/7,16.7,74,83,0,47.2
2017/2/8,17.7,78,88,0,29.7
2017/2/9,14,56,72,0,39.9
2017/2/10,12.8,56,88,0,27.7
2017/2/11,14,57,32,0,22.7
2017/2/12,15,66,6,0,20.8
2017/2/13,16.1,65,9,0,30.3
2017/2/14,17.3,62,34,0,35.3
2017/2/15,17.4,62,20,0,28.3
2017/2/16,18.7,69,11,0,16.3
2017/2/17,20.4,74,39,0,10.5
2017/2/18,19.9,76,33,0,19.1
2017/2/19,17.9,82,88,0.3,30
2017/2/20,21,84,72,0,12.8
2017/2/21,18.3,90,90,4.6,35.5
2017/2/22,18.9,91,89,8,18.5
2017/2/23,17.9,88,95,0,18.8
2017/2/24,13,81,88,0,28
2017/2/25,12.2,85,89,0.7,22.4
2017/2/26,13.9,79,88,1.4,21.7
2017/2/27,17,66,77,0,33.6
2017/2/28,17.4,64,51,0,31.3
2017/3/1,18.8,67,72,0,11.3
2017/3/2,19.4,45,12,0,25.5
2017/3/3,17.4,67,43,0,32.8
2017/3/4,18.7,73,76,0,23.4
2017/3/5,20.7,83,80,0,15.9
2017/3/6,20.3,80,76,0,17.3
2017/3/7,18,75,87,0,37.8
2017/3/8,16.3,86,89,2.8,28.5
2017/3/9,17,74,88,0,35.2
2017/3/10,17.8,90,89,0,24.3
2017/3/11,17.5,88,91,0,31.7
2017/3/12,18.4,90,92,1,27
2017/3/13,21.7,92,86,0,11.9
2017/3/14,19.1,94,93,8.5,31
2017/3/15,16.8,75,88,0,44.5
2017/3/16,17.8,78,88,0,30.9
2017/3/17,18.1,86,88,0,34.3
2017/3/18,18.9,90,91,0.3,29.1
2017/3/19,19.8,94,99,10.7,28.5
2017/3/20,21.9,86,61,0,16.4
2017/3/21,22.9,85,69,0.6,19.5
2017/3/22,18.8,88,88,0.9,34.2
2017/3/23,21.2,84,83,0,16.4
2017/3/24,20.8,83,85,0,28.4
2017/3/25,20.2,84,82,0,23.1
2017/3/26,15.8,76,86,1,31.6
2017/3/27,18.9,55,73,0,30.1
2017/3/28,20.6,70,60,0,27.6
2017/3/29,21.7,84,88,0.3,27.8
2017/3/30,21.9,89,88,0,22.5
2017/3/31,20.1,92,85,21.9,23.9
2017/4/1,18.7,70,35,0.2,24.1
2017/4/2,19.9,64,17,0,30.8
2017/4/3,20.7,68,22,0,34
2017/4/4,21.9,77,51,0,31.4
2017/4/5,23.4,81,80,0,22
2017/4/6,23.5,87,86,0.3,17.7
2017/4/7,24.5,84,63,0,6.8
2017/4/8,25,85,62,0,6.8
2017/4/9,25.8,84,77,0,12
2017/4/10,27,83,87,0,27.8
2017/4/11,26.1,90,89,0.6,17
2017/4/12,20.6,89,88,21.5,26.3
2017/4/13,20,80,86,0,22.7
2017/4/14,21.9,78,81,0,17.5
2017/4/15,23.6,86,84,0,12.2
2017/4/16,25.7,82,58,0,12.5
2017/4/17,26,79,61,0,15.8
2017/4/18,26.7,79,48,0,23.4
2017/4/19,26.7,78,49,0,19.5
2017/4/20,26.1,86,84,3.1,17.4
2017/4/21,26.2,88,90,7.8,25.2
